No.,Description,UOM,Qty,,Price,Total (Kes)
"",Solar cables,,,,,
1,6mm black,rolls,,1,,
"",6mm red,rolls,,1,,
"",Battery Cables,,,,,
2,50mm black,mtrs,,10,,
"",50mm blue,mtrs,,10,,
"",AC cables,,,,,
3,6mm Green,mtrs,,30,,
"",25mm 4 core flex,mtrs,,10,,
"",Communication,,,,,
4,CAT 6 outdoor,mtrs,,15,,
"",RJ 45,pcs,,6,,
"",cable lugs,,,,,
"",50_12,pcs,,10,,
5,25_8,pcs,,10,,
"",10_6,pcs,,6,,
"",MC4 connector pairs,pcs,,10,,
"",pvc conduit,,,,,
"",32mm black,pcs,,10,,
6,,,,,,
"",32mm white,pcs,,5,,
"",25mm black,pcs,,10,,
"",couplers,,,,,
"",32mm white,pcs,,8,,
7,,,,,,
"",32mm black,pcs,,8,,
"",25mm black,pcs,,10,,
"",bends,,,,,
"",32mm black,pcs,,10,,
8,,,,,,
"",32mm white,pcs,,10,,
"",25mm black,pcs,,10,,
"",flex conduit,,,,,
9,25mm,mtrs,,50,,
"",32mm,mtrs,,50,,
"",GI perforated cable tray & spacers,,,,,
10,,,,,,
"",100mm by 50mm,pcs,,1,,
"",walkway,mtrs,,80,,
"",breakers AC &DC,,,,,
"",100A DC MCCB,pcs,,1,,
11,,,,,,
"",40A AC  TPN MCB,pcs,,1,,
"",siso switch,pcs,,1,,
"",others,,,,,
"",earth rod & clamp,pcs,,2,,
"",Lightining arrestor,pcs,,1,,
"",earth clips,pcs,,52,,
"",silicone 750ml,pcs,,4,,
"",foam 750ml,pcs,,2,,
"",cable ties,,,,,
"",250mm by 250mm,pkts,,3,,
"",150mm by 150mm,pkts,,3,,
"",hole cutter,,
"",25mm,pcs,2
"",32mm,pcs,2
"",40mm,pcs,2
"",self tapping,,
"",2 inch hex head,pkts,1
12,1 inch hex head,pkts,1
"",wall plugs,,
"",10mm,pkts,2
"",rawl bolts,,
"",M12,pcs,20
"",M10,pcs,20
"",PG glands,,
"",PG36,pcs,6
"",PG16,pcs,6
"",insulation tapes,pcs,5
"",concrete bits,pcs,
"",M10,pcs,2
"",M16,pcs,2
"",steel bits,pcs,
"",M6,pcs,2
"",pvc Glue 250ml,pcs,1
"",4 way suntree consumer,pcs,1
"",Jinko 545w panels,pcs,26
